latitude,longitude,cord,latitude_2,longitude_2
40.7177325 , -74.043845,"40.7177325 , -74.043845",40.72,-74.04
40.72333159 , -74.050388,"40.72333159 , -74.05038893",40.72,-74.05
40.72528911 , -74.046304,"40.72528911 , -74.04630454",40.73,-74.05
40.71435837 , -74.033458,"40.71435837 , -74.0334588",40.71,-74.03
40.7376037 , -74.078405,"40.7376037 , -74.07840595",40.74,-74.08
40.71113 , -74.052478,"40.71113 , -74.0524783",40.71,-74.05
40.7272235 , -74.0625,"40.7272235 , -74.0625",40.73,-74.06
40.71848892 , -74.055701,"40.71848892 , -74.0557013",40.72,-74.06
40.72210379 , -74.068601,"40.72210379 , -74.06860113",40.72,-74.07
40.72755147 , -74.037683,"40.72755147 , -74.03768331",40.73,-74.04
40.71346383 , -74.071455,"40.71346383 , -74.071455",40.71,-74.07
40.71958612 , -74.051788,"40.71958612 , -74.05178863",40.72,-74.05
40.72165072 , -74.050443,"40.72165072 , -74.05044364",40.72,-74.05
40.7308971 , -74.057271,"40.7308971 , -74.05727148",40.73,-74.06
40.7246051 , -74.043117,"40.7246051 , -74.04311746",40.72,-74.04
40.7183552 , -74.045952,"40.7183552 , -74.04595256",40.72,-74.05
40.73496102 , -74.038525,"40.73496102 , -74.03852552",40.73,-74.04
40.72163014 , -74.036485,"40.72163014 , -74.0364857",40.72,-74.04
40.71517768 , -74.042817,"40.71517768 , -74.04281706",40.72,-74.04
40.72533993 , -74.038914,"40.72533993 , -74.03891444",40.73,-74.04
40.7443187 , -74.0789,"40.7443187 , -74.0789",40.74,-74.08
40.737711 , -74.040443,"40.737711 , -74.0404433",40.74,-74.04
40.71653978 , -74.044247,"40.71653978 , -74.04424731",40.72,-74.04
40.71942 , -74.046963,"40.71942 , -74.04696375",40.72,-74.05
40.7162469 , -74.067622,"40.7162469 , -74.06762213",40.72,-74.07
40.71458404 , -74.071060,"40.71458404 , -74.07106072",40.71,-74.07
40.7287448 , -74.071261,"40.7287448 , -74.07126188",40.73,-74.07
40.7236589 , -74.049637,"40.7236589 , -74.04963791",40.72,-74.05
40.70965083 , -74.042884,"40.70965083 , -74.04288411",40.71,-74.04
40.73520838 , -74.045571,"40.73520838 , -74.04557168",40.74,-74.05
40.7242941 , -74.048790,"40.7242941 , -74.04879034",40.72,-74.05
40.7182113 , -74.033551,"40.7182113 , -74.0335519",40.72,-74.03
40.74590997 , -74.032108,"40.74590997 , -74.0321082",40.75,-74.03
40.7241765 , -74.059503,"40.7241765 , -74.05950308",40.72,-74.06
40.72152515 , -74.033758,"40.72152515 , -74.0337589",40.72,-74.03
40.7127742 , -74.057573,"40.7127742 , -74.0575736",40.71,-74.06
40.7141454 , -74.03281,"40.7141454 , -74.03281",40.71,-74.03
40.71649 , -74.035482,"40.71649 , -74.0354826",40.72,-74.04
40.7112423 , -74.043990,"40.7112423 , -74.0439909",40.71,-74.04
40.72759597 , -74.062858,"40.72759597 , -74.06285852",40.73,-74.06
40.71687 , -74.050656,"40.71687 , -74.0506564",40.72,-74.05
40.72572614 , -74.05099,"40.72572614 , -74.05099",40.73,-74.05
40.73478582 , -74.063912,"40.73478582 , -74.06391263",40.73,-74.06
40.72601173 , -74.066610,"40.72601173 , -74.06661093",40.73,-74.07
40.71241882 , -74.038050,"40.71241882 , -74.03805095",40.71,-74.04
40.72568548 , -74.04105,"40.72568548 , -74.04105",40.73,-74.04
40.7211236 , -74.064194,"40.7211236 , -74.0641943",40.72,-74.06
40.73367 , -74.049967,"40.73367 , -74.04996783",40.73,-74.05
40.74871595 , -74.047726,"40.74871595 , -74.04772663",40.75,-74.05
40.7311689 , -74.034234,"40.7311689 , -74.034234",40.73,-74.03
40.7192517 , -74.071959,"40.7192517 , -74.07195926",40.72,-74.07
40.74267714 , -74.083639,"40.74267714 , -74.0836394",40.74,-74.08
40.7192822 , -74.066921,"40.7192822 , -74.066921",40.72,-74.07
